id,year,report,sector,industry,company,sentence,label,lab_C,conf_C,span_C,rationale_C,raw_C
15920,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,,E,0.95,environmental provision,"The phrase 'environmental provision' directly indicates a financial allocation or reserve set aside for environmental liabilities or initiatives, which falls under the Environmental category.","{""label"": ""E"", ""confidence"": 0.95, ""span"": ""environmental provision"", ""rationale"": ""The phrase 'environmental provision' directly indicates a financial allocation or reserve set aside for environmental liabilities or initiatives, which falls under the Environmental category.""}"
1987,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",,G,0.9,risk factors,"The sentence refers to risk factors outlined in a company's annual report, which is a key aspect of corporate governance and transparency.","{""label"": ""G"", ""confidence"": 0.9, ""span"": ""risk factors"", ""rationale"": ""The sentence refers to risk factors outlined in a company's annual report, which is a key aspect of corporate governance and transparency.""}"
7427,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,,S,0.95,Information Security of the Personnel,"The sentence focuses on information security specifically for personnel and employees, which falls under human capital and employee welfare, a social factor.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""Information Security of the Personnel"", ""rationale"": ""The sentence focuses on information security specifically for personnel and employees, which falls under human capital and employee welfare, a social factor.""}"
14181,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,,G,0.9,annual bonus headroom to 200% of base salary,"The sentence discusses executive remuneration policies, specifically the annual bonus structure, which falls under governance factors related to compensation and oversight.","{""label"": ""G"", ""confidence"": 0.9, ""span"": ""annual bonus headroom to 200% of base salary"", ""rationale"": ""The sentence discusses executive remuneration policies, specifically the annual bonus structure, which falls under governance factors related to compensation and oversight.""}"
4477,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Develops and monitors adherence with strong sustainability-related policies and procedures.,,G,0.9,monitors adherence with strong sustainability-related policies and procedures,"The sentence describes the development and monitoring of policies and procedures related to sustainability, which falls under the governance aspect of overseeing and ensuring compliance with ESG initiatives.","{""label"": ""G"", ""confidence"": 0.9, ""span"": ""monitors adherence with strong sustainability-related policies and procedures"", ""rationale"": ""The sentence describes the development and monitoring of policies and procedures related to sustainability, which falls under the governance aspect of overseeing and ensuring compliance with ESG initiatives.""}"
1424,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",,S,0.95,opportunities to develop themselves as leaders,"The sentence discusses providing opportunities for employee development and leadership, which falls under human capital development and labor practices, a key social factor.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""opportunities to develop themselves as leaders"", ""rationale"": ""The sentence discusses providing opportunities for employee development and leadership, which falls under human capital development and labor practices, a key social factor.""}"
8193,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,,S,0.9,Human Rights Protection,"The sentence explicitly mentions 'Human Rights Protection', which is a core social factor in ESG, focusing on the well-being and rights of individuals and communities.","{""label"": ""S"", ""confidence"": 0.9, ""span"": ""Human Rights Protection"", ""rationale"": ""The sentence explicitly mentions 'Human Rights Protection', which is a core social factor in ESG, focusing on the well-being and rights of individuals and communities.""}"
2168,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",,S,0.95,conflict-affected and high-risk areas,"The mention of 'conflict-affected and high-risk areas' in relation to sourcing minerals and other materials directly relates to human rights and labor practices within the supply chain, which falls under social factors.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""conflict-affected and high-risk areas"", ""rationale"": ""The mention of 'conflict-affected and high-risk areas' in relation to sourcing minerals and other materials directly relates to human rights and labor practices within the supply chain, which falls under social factors.""}"
13023,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,,G,0.85,make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports,"The sentence discusses making metrics and targets more transparent, especially for Board and Executive level reports, which relates to accountability and reporting within governance structures.","{""label"": ""G"", ""confidence"": 0.85, ""span"": ""make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports"", ""rationale"": ""The sentence discusses making metrics and targets more transparent, especially for Board and Executive level reports, which relates to accountability and reporting within governance structures.""}"
12489,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",,I,0.9,significant growth opportunities,"The sentence discusses commercial sales and growth opportunities, which are generic business terms and do not inherently relate to environmental, social, or governance factors without further context.","{""label"": ""I"", ""confidence"": 0.9, ""span"": ""significant growth opportunities"", ""rationale"": ""The sentence discusses commercial sales and growth opportunities, which are generic business terms and do not inherently relate to environmental, social, or governance factors without further context.""}"
