id,year,report,sector,industry,company,sentence,label,rel_A,conf_A,keywords_A,rationale_A,raw_A
15920,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,,No,0.85,environmental provision|management estimate|most likely outcome|individual exposure,"Although the sentence mentions 'environmental provision,' it refers to a financial or risk management estimate rather than a concrete environmental impact or sustainability practice, making it unrelated to ESG topics.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""environmental provision"", ""management estimate"", ""most likely outcome"", ""individual exposure""], ""rationale"": ""Although the sentence mentions 'environmental provision,' it refers to a financial or risk management estimate rather than a concrete environmental impact or sustainability practice, making it unrelated to ESG topics.""}"
1987,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",,No,0.95,Annual Report|Form 10-K|risk factors,"The sentence refers to a general description of risk factors in a financial report without specifying any ESG-related risks or topics, making it unrelated to concrete ESG aspects.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""Annual Report"", ""Form 10-K"", ""risk factors""], ""rationale"": ""The sentence refers to a general description of risk factors in a financial report without specifying any ESG-related risks or topics, making it unrelated to concrete ESG aspects.""}"
7427,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,,Yes,0.95,Information Security|Personnel|Training|Awareness|Policy,"The sentence clearly addresses governance-related activities focused on information security, including training, awareness, policy adherence, and simulation exercises, which are material aspects of corporate governance and risk management.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Information Security"", ""Personnel"", ""Training"", ""Awareness"", ""Policy""], ""rationale"": ""The sentence clearly addresses governance-related activities focused on information security, including training, awareness, policy adherence, and simulation exercises, which are material aspects of corporate governance and risk management.""}"
14181,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,,No,0.95,maximum annual bonus|base salary|recruitment|exceptional circumstances,"The sentence discusses compensation structure related to bonuses and recruitment flexibility, which pertains to financial and HR policies but does not explicitly address governance practices or ESG-specific issues.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""maximum annual bonus"", ""base salary"", ""recruitment"", ""exceptional circumstances""], ""rationale"": ""The sentence discusses compensation structure related to bonuses and recruitment flexibility, which pertains to financial and HR policies but does not explicitly address governance practices or ESG-specific issues.""}"
4477,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Develops and monitors adherence with strong sustainability-related policies and procedures.,,Yes,0.95,sustainability-related policies|monitors adherence,"The sentence explicitly mentions developing and monitoring sustainability-related policies, which directly relates to environmental and governance aspects of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""sustainability-related policies"", ""monitors adherence""], ""rationale"": ""The sentence explicitly mentions developing and monitoring sustainability-related policies, which directly relates to environmental and governance aspects of ESG.""}"
1424,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",,Yes,0.85,people|opportunities|develop|leaders,"The sentence addresses social aspects of ESG by focusing on employee development and leadership opportunities, which relate to workforce well-being and talent management.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""people"", ""opportunities"", ""develop"", ""leaders""], ""rationale"": ""The sentence addresses social aspects of ESG by focusing on employee development and leadership opportunities, which relate to workforce well-being and talent management.""}"
8193,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,,Yes,0.95,Risk Management|Human Rights Protection|Low-carbon|Environmental Protection|Health Safety,"The sentence explicitly mentions key ESG topics including human rights (Social), low-carbon and environmental protection (Environmental), and health and safety (Social), all of which are material ESG issues.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Risk Management"", ""Human Rights Protection"", ""Low-carbon"", ""Environmental Protection"", ""Health Safety""], ""rationale"": ""The sentence explicitly mentions key ESG topics including human rights (Social), low-carbon and environmental protection (Environmental), and health and safety (Social), all of which are material ESG issues.""}"
2168,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",,Yes,0.95,minerals|conflict-affected and high-risk areas|timberbased products|new suppliers|higher-risk countries,"The sentence addresses sourcing of minerals from conflict-affected and high-risk areas and use of timber-based products, which are key environmental and social issues related to responsible supply chain management and conflict minerals sourcing.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""minerals"", ""conflict-affected and high-risk areas"", ""timberbased products"", ""new suppliers"", ""higher-risk countries""], ""rationale"": ""The sentence addresses sourcing of minerals from conflict-affected and high-risk areas and use of timber-based products, which are key environmental and social issues related to responsible supply chain management and conflict minerals sourcing.""}"
13023,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,,No,0.75,dashboards|metrics|targets|transparency|reports,"The sentence discusses improving transparency of metrics and targets through dashboards and reports but does not specify that these metrics or targets relate to ESG issues, making it ambiguous and likely generic reporting improvement.","{""relevance"": ""No"", ""confidence"": 0.75, ""keywords"": [""dashboards"", ""metrics"", ""targets"", ""transparency"", ""reports""], ""rationale"": ""The sentence discusses improving transparency of metrics and targets through dashboards and reports but does not specify that these metrics or targets relate to ESG issues, making it ambiguous and likely generic reporting improvement.""}"
12489,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",,No,0.95,growth opportunities|commercial sales|field crops|vegetables,"The sentence focuses on business growth and commercial sales without mentioning any specific environmental, social, or governance aspects.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""growth opportunities"", ""commercial sales"", ""field crops"", ""vegetables""], ""rationale"": ""The sentence focuses on business growth and commercial sales without mentioning any specific environmental, social, or governance aspects.""}"
