id,sentence,original_need_debate,role,initial_label,initial_span,initial_rationale,claim
15920,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,True,C,E,environmental provision,"The phrase 'environmental provision' directly indicates a financial allocation or reserve set aside for environmental liabilities or initiatives, which falls under the Environmental category.","The phrase 'environmental provision' directly signifies a financial allocation or reserve for environmental liabilities or initiatives, which is a core aspect of the Environmental category."
1987,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",False,C,G,risk factors,"The sentence refers to risk factors outlined in a company's annual report, which is a key aspect of corporate governance and transparency.","The sentence directly references a company's 10-K report and specifically 'Item 1A outlines risk factors,' which is a fundamental component of corporate governance related to transparency and disclosure of potential risks to investors."
7427,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,False,C,S,Information Security of the Personnel,"The sentence focuses on information security specifically for personnel and employees, which falls under human capital and employee welfare, a social factor.","The sentence explicitly details various measures related to 'Information Security of the Personnel,' including requisitions, exercises, awareness campaigns, training, and policy adherence specifically for employees. This directly addresses the protection of employee data and the human element in cybersecurity, which is a core aspect of social factors under human capital and employee welfare."
14181,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,False,C,G,annual bonus headroom to 200% of base salary,"The sentence discusses executive remuneration policies, specifically the annual bonus structure, which falls under governance factors related to compensation and oversight.","The sentence directly addresses executive compensation by detailing a change in the annual bonus structure, which is a core aspect of governance related to executive remuneration and oversight."
4477,Develops and monitors adherence with strong sustainability-related policies and procedures.,False,C,G,monitors adherence with strong sustainability-related policies and procedures,"The sentence describes the development and monitoring of policies and procedures related to sustainability, which falls under the governance aspect of overseeing and ensuring compliance with ESG initiatives.","The sentence describes the development and monitoring of policies and procedures related to sustainability, which directly pertains to the governance aspect of establishing oversight, controls, and compliance mechanisms for ESG initiatives."
1424,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",False,C,S,opportunities to develop themselves as leaders,"The sentence discusses providing opportunities for employee development and leadership, which falls under human capital development and labor practices, a key social factor.","The sentence directly states that 3M provides ""opportunities to develop themselves as leaders"" to ""All our people globally,"" which is a clear indicator of investment in human capital development and employee training, a core aspect of the Social category."
8193,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,False,C,S,Human Rights Protection,"The sentence explicitly mentions 'Human Rights Protection', which is a core social factor in ESG, focusing on the well-being and rights of individuals and communities.","The sentence explicitly lists 'Human Rights Protection', which directly aligns with the social (S) component of ESG by addressing the well-being and rights of individuals and communities."
2168,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",False,C,S,conflict-affected and high-risk areas,"The mention of 'conflict-affected and high-risk areas' in relation to sourcing minerals and other materials directly relates to human rights and labor practices within the supply chain, which falls under social factors.","The phrase 'conflict-affected and high-risk areas' directly indicates a social risk related to human rights and labor practices in the supply chain, which is a core component of the S category."
13023,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,False,C,G,make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports,"The sentence discusses making metrics and targets more transparent, especially for Board and Executive level reports, which relates to accountability and reporting within governance structures.","The sentence explicitly mentions making metrics and targets more transparent at 'Board and Executive level reports,' which directly pertains to the oversight, disclosure, and accountability aspects of corporate governance."
12489,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",False,C,I,significant growth opportunities,"The sentence discusses commercial sales and growth opportunities, which are generic business terms and do not inherently relate to environmental, social, or governance factors without further context.","The sentence focuses on commercial sales and growth opportunities, which are standard business operations and do not inherently relate to specific environmental, social, or governance impacts or initiatives. The mention of 'field crops and vegetables' does not provide sufficient context to link it to sustainable agriculture, ethical sourcing, or other ESG factors."
