id,year,report,sector,industry,company,sentence,label,lab_A,conf_A,span_A,rationale_A,raw_A
15920,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,,G,0.85,management s best estimate of the most likely outcome for each individual exposure,"The sentence refers to management's estimation process, which relates to governance practices in decision-making and risk assessment.","{""label"": ""G"", ""confidence"": 0.85, ""span"": ""management s best estimate of the most likely outcome for each individual exposure"", ""rationale"": ""The sentence refers to management's estimation process, which relates to governance practices in decision-making and risk assessment.""}"
1987,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",,G,0.9,risk factors applicable to the company,The mention of risk factors in an annual report relates to governance as it involves management of legal and regulatory environment and disclosure practices.,"{""label"": ""G"", ""confidence"": 0.9, ""span"": ""risk factors applicable to the company"", ""rationale"": ""The mention of risk factors in an annual report relates to governance as it involves management of legal and regulatory environment and disclosure practices.""}"
7427,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,,S,0.95,Information Security,"The sentence focuses on raising awareness, training, and supervising employees regarding information security, which pertains to social factors such as employee training, information protection, and workplace practices.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""Information Security"", ""rationale"": ""The sentence focuses on raising awareness, training, and supervising employees regarding information security, which pertains to social factors such as employee training, information protection, and workplace practices.""}"
14181,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,,G,0.95,Increasing the maximum annual bonus headroom to 200% of base salary,"The sentence relates to remuneration policies and executive pay flexibility, which are governance factors.","{""label"": ""G"", ""confidence"": 0.95, ""span"": ""Increasing the maximum annual bonus headroom to 200% of base salary"", ""rationale"": ""The sentence relates to remuneration policies and executive pay flexibility, which are governance factors.""}"
4477,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Develops and monitors adherence with strong sustainability-related policies and procedures.,,G,0.95,Develops and monitors adherence with strong sustainability-related policies and procedures,"The sentence refers to the development and monitoring of policies and procedures, which is a governance activity related to managing sustainability.","{""label"": ""G"", ""confidence"": 0.95, ""span"": ""Develops and monitors adherence with strong sustainability-related policies and procedures"", ""rationale"": ""The sentence refers to the development and monitoring of policies and procedures, which is a governance activity related to managing sustainability.""}"
1424,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",,S,0.95,opportunities to develop themselves as leaders,"The sentence focuses on human capital development and employee growth, which are social factors related to training and education.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""opportunities to develop themselves as leaders"", ""rationale"": ""The sentence focuses on human capital development and employee growth, which are social factors related to training and education.""}"
8193,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,,S,0.85,Human Rights Protection,"Human Rights Protection is a social factor related to the treatment and rights of individuals, which falls under the Social (S) category.","{""label"": ""S"", ""confidence"": 0.85, ""span"": ""Human Rights Protection"", ""rationale"": ""Human Rights Protection is a social factor related to the treatment and rights of individuals, which falls under the Social (S) category.""}"
2168,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",,S,0.95,use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas,"The sentence discusses sourcing minerals from conflict-affected and high-risk areas, which relates to social factors such as human rights and supply chain labor standards.","{""label"": ""S"", ""confidence"": 0.95, ""span"": ""use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas"", ""rationale"": ""The sentence discusses sourcing minerals from conflict-affected and high-risk areas, which relates to social factors such as human rights and supply chain labor standards.""}"
13023,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,,G,0.85,make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports,"The sentence focuses on improving transparency of metrics and targets for governance bodies like the Board and Executive level, which relates to governance practices and reporting.","{""label"": ""G"", ""confidence"": 0.85, ""span"": ""make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports"", ""rationale"": ""The sentence focuses on improving transparency of metrics and targets for governance bodies like the Board and Executive level, which relates to governance practices and reporting.""}"
12489,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",,I,0.95,"significant growth opportunities, with commercial sales","The sentence focuses on business growth and sales without mentioning any environmental, social, or governance factors.","{""label"": ""I"", ""confidence"": 0.95, ""span"": ""significant growth opportunities, with commercial sales"", ""rationale"": ""The sentence focuses on business growth and sales without mentioning any environmental, social, or governance factors.""}"
