id,year,report,sector,industry,company,sentence,label,rel_C,conf_C,keywords_C,rationale_C,raw_C
15920,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,,Yes,0.95,environmental provision|environmental exposure,"The sentence explicitly mentions 'environmental provision' and 'environmental exposure,' indicating a financial commitment related to environmental liabilities, which is a core E (Environmental) topic.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""environmental provision"", ""environmental exposure""], ""rationale"": ""The sentence explicitly mentions 'environmental provision' and 'environmental exposure,' indicating a financial commitment related to environmental liabilities, which is a core E (Environmental) topic.""}"
1987,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",,No,0.95,Annual Report on Form 10-K|Item 1A|risk factors,"The sentence refers to a standard financial disclosure document (Form 10-K) and a section on general risk factors. It does not specifically mention any environmental, social, or governance risks or initiatives.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""Annual Report on Form 10-K"", ""Item 1A"", ""risk factors""], ""rationale"": ""The sentence refers to a standard financial disclosure document (Form 10-K) and a section on general risk factors. It does not specifically mention any environmental, social, or governance risks or initiatives.""}"
7427,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,,Yes,0.95,Information Security|personnel|training|awareness|policy,"The sentence details multiple initiatives related to information security, including training, awareness programs, and policy adherence for personnel. Information security is a key aspect of social (S) and governance (G) factors within ESG, as it relates to data privacy, ethical conduct, and risk management.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Information Security"", ""personnel"", ""training"", ""awareness"", ""policy""], ""rationale"": ""The sentence details multiple initiatives related to information security, including training, awareness programs, and policy adherence for personnel. Information security is a key aspect of social (S) and governance (G) factors within ESG, as it relates to data privacy, ethical conduct, and risk management.""}"
14181,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,,No,0.95,annual bonus|base salary|recruitment,"The sentence discusses executive compensation (annual bonus headroom) and recruitment flexibility, which are standard business and human resources topics. While executive compensation can sometimes touch upon governance (G) if it relates to fairness or stakeholder alignment, this specific statement is about a technical adjustment to bonus limits for recruitment purposes, not a broader governance principle or ESG-related compensation metric.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""annual bonus"", ""base salary"", ""recruitment""], ""rationale"": ""The sentence discusses executive compensation (annual bonus headroom) and recruitment flexibility, which are standard business and human resources topics. While executive compensation can sometimes touch upon governance (G) if it relates to fairness or stakeholder alignment, this specific statement is about a technical adjustment to bonus limits for recruitment purposes, not a broader governance principle or ESG-related compensation metric.""}"
4477,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Develops and monitors adherence with strong sustainability-related policies and procedures.,,Yes,0.95,sustainability-related policies|procedures,"The sentence explicitly mentions 'sustainability-related policies and procedures,' indicating a direct focus on the company's approach to environmental, social, and governance issues. Monitoring adherence further strengthens its relevance to ESG management.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""sustainability-related policies"", ""procedures""], ""rationale"": ""The sentence explicitly mentions 'sustainability-related policies and procedures,' indicating a direct focus on the company's approach to environmental, social, and governance issues. Monitoring adherence further strengthens its relevance to ESG management.""}"
1424,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",,No,0.85,,"The sentence discusses leadership development opportunities for employees, which is a general human resources practice. While employee development can indirectly contribute to social capital, this statement is too generic to be considered a material ESG disclosure without further context linking it to specific social outcomes or diversity/inclusion initiatives.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [], ""rationale"": ""The sentence discusses leadership development opportunities for employees, which is a general human resources practice. While employee development can indirectly contribute to social capital, this statement is too generic to be considered a material ESG disclosure without further context linking it to specific social outcomes or diversity/inclusion initiatives.""}"
8193,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,,Yes,0.95,Human Rights Protection|Low-carbon|Environmental Protection|Health Safety,"The sentence explicitly lists several key ESG topics, including human rights, environmental protection (low-carbon), and health and safety, indicating a direct relevance to social and environmental aspects of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Human Rights Protection"", ""Low-carbon"", ""Environmental Protection"", ""Health Safety""], ""rationale"": ""The sentence explicitly lists several key ESG topics, including human rights, environmental protection (low-carbon), and health and safety, indicating a direct relevance to social and environmental aspects of ESG.""}"
2168,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",,Yes,0.95,conflict-affected and high-risk areas|timberbased products|plant materials|new suppliers|higher-risk countries,"The sentence explicitly mentions the use of minerals from conflict-affected areas and timber-based products, which are direct social and environmental supply chain issues. It also refers to new suppliers in higher-risk countries, indicating a focus on responsible sourcing and supply chain due diligence, which are key ESG considerations.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""conflict-affected and high-risk areas"", ""timberbased products"", ""plant materials"", ""new suppliers"", ""higher-risk countries""], ""rationale"": ""The sentence explicitly mentions the use of minerals from conflict-affected areas and timber-based products, which are direct social and environmental supply chain issues. It also refers to new suppliers in higher-risk countries, indicating a focus on responsible sourcing and supply chain due diligence, which are key ESG considerations.""}"
13023,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,,Yes,0.85,dashboards|metrics|targets|transparent,"The sentence discusses developing dashboards to make metrics and targets more transparent, which is crucial for effective ESG reporting and accountability, even if the specific ESG metrics are not explicitly mentioned. Transparency in reporting is a key governance aspect.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""dashboards"", ""metrics"", ""targets"", ""transparent""], ""rationale"": ""The sentence discusses developing dashboards to make metrics and targets more transparent, which is crucial for effective ESG reporting and accountability, even if the specific ESG metrics are not explicitly mentioned. Transparency in reporting is a key governance aspect.""}"
12489,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",,No,0.95,growth opportunities|commercial sales|field crops|vegetables,"The sentence discusses commercial sales and growth opportunities in agriculture, which is a business operational detail rather than a specific ESG topic. It does not mention sustainable practices, social impact, or governance structures.","{""relevance"": ""No"", ""confidence"": 0.95, ""keywords"": [""growth opportunities"", ""commercial sales"", ""field crops"", ""vegetables""], ""rationale"": ""The sentence discusses commercial sales and growth opportunities in agriculture, which is a business operational detail rather than a specific ESG topic. It does not mention sustainable practices, social impact, or governance structures.""}"
